title,category,content_raw,content_clean,is_ai,char_count,raw_length,sentence_count,avg_sentence_len,sentence_len_std,total_tokens,noun_count,verb_count,adjective_count,adverb_count,josa_count,noun_ratio,verb_ratio,adjective_ratio,adverb_ratio,josa_ratio,noun_density,josa_density,friendly_ending_count,llm_style_count,period_count,exclamation_count,question_count,tilde_count,punctuation_ratio
[강남역 맛집] 바비레드 추천,맛집_리뷰,오랜만에 강남역에서 친구를 만났습니다 오늘의 선택은 파스타파스타 그래서 강남역 맛집 바비레드에... *참고사항* ★ 2019년 10월18일 ~2020년 1월 5일까지 ★ 방탄소년단 팝업스토어 기간 이래요! 강남역 맛집... ,오랜만에 강남역에서 친구를 만났습니다 오늘의 선택은 파스타파스타 그래서 강남역 맛집 바비레드에. 참고사항 2019년 10월18일 ~2020년 1월 5일까지 방탄소년단 팝업스토어 기간 이래요! 강남역 맛집.,0,92,114,3,30.666666666666668,17.441967269268172,40,19,2,0,1,6,0.475,0.05,0.0,0.025,0.15,0.20652173913043478,0.06521739130434782,0,0,2,1,0,1,0.043478260869565216
강남역 맛집 / 5000원 냉삼 회식장소로 좋은 수입식당,맛집_리뷰,강남역 맛집 / 5000원 냉삼 회식장소로 좋은 수입식당 냉삼열풍이 식지 않는 시점. 삼겹살과... 2019년 12월 [방문] 강남역 수입식당 메뉴판 가격 가격이 너무나 저렴하다. 냉동삼겹살이 5000원이라고 한다. 정말... ,강남역 맛집 5000원 냉삼 회식장소로 좋은 수입식당 냉삼열풍이 식지 않는 시점. 삼겹살과. 2019년 12월 방문 강남역 수입식당 메뉴판 가격 가격이 너무나 저렴하다. 냉동삼겹살이 5000원이라고 한다. 정말.,0,93,118,5,18.6,13.46996659238619,43,22,2,2,1,5,0.5116279069767442,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.11627906976744186,0.23655913978494625,0.053763440860215055,0,0,5,0,0,0,0.053763440860215055
강남역 맛집) 신데렐라롱,맛집_리뷰,"2019년 한국브랜드리더대상에서 식품(디저트) 부문 상도 받으셨어요. 개별포장 기본이고 3, 6구 박스... - 내 맘대로 달점  신데렐라롱 서울 강남구 역삼로 139 105호 영업시간 평일 11:00 - 19:30 품절시클로즈... ",2019년 한국브랜드리더대상에서 식품 디저트 부문 상도 받으셨어요. 개별포장 기본이고 3 6구 박스. 내 맘대로 달점 신데렐라롱 서울 강남구 역삼로 139 105호 영업시간 평일 11 00 19 30 품절시클로즈.,0,92,119,3,30.666666666666668,13.474255287605157,43,26,1,0,1,2,0.6046511627906976,0.023255813953488372,0.0,0.023255813953488372,0.046511627906976744,0.2826086956521739,0.021739130434782608,0,0,3,0,0,0,0.03260869565217391
강남역 맛집 장인닭갈비 줄서서 먹은 보람이 있다!,맛집_리뷰,방문일: 2019년 3월 15일 방문장소: 서울 강남역 장인닭갈비 작성일: 2019년 3월 17일 작성장소: 서울 강남구 삼성동 (코엑스) 서울 강남역 맛집 장인닭갈비 리뷰를 시작합니다. 먼저 장인닭갈비 외관입니다. 눈과... ,방문일 2019년 3월 15일 방문장소 서울 강남역 장인닭갈비 작성일 2019년 3월 17일 작성장소 서울 강남구 삼성동 코엑스 서울 강남역 맛집 장인닭갈비 리뷰를 시작합니다. 먼저 장인닭갈비 외관입니다. 눈과.,0,92,118,3,30.666666666666668,32.31442746239243,41,28,1,1,0,2,0.6829268292682927,0.024390243902439025,0.024390243902439025,0.0,0.04878048780487805,0.30434782608695654,0.021739130434782608,0,0,3,0,0,0,0.03260869565217391
강남역 맛집 / 강남역 11번출구 맛집 / 낮 맥주가 가능 한... ,맛집_리뷰,2019년 8월 말 친구와 LG아트센터에서 뮤지컬 맘마미아를 본 그날! 맘마미아 공연을 본 후 강남역까지... 모르겠어요~ 강남역 맛집 더블린(Dublin) 이런분들께 추천합니다. 낮에 맥주한잔 하고싶으신 분들! 다양한... ,2019년 8월 말 친구와 LG아트센터에서 뮤지컬 맘마미아를 본 그날! 맘마미아 공연을 본 후 강남역까지. 모르겠어요~ 강남역 맛집 더블린 Dublin 이런분들께 추천합니다. 낮에 맥주한잔 하고싶으신 분들! 다양한.,0,95,120,5,19.0,10.526157893552615,45,19,5,1,0,7,0.4222222222222222,0.1111111111111111,0.022222222222222223,0.0,0.15555555555555556,0.2,0.07368421052631578,0,0,3,2,0,1,0.06315789473684211
[강남역맛집] 5년단골 참치21의 맛있는 숙성참치파티 (feat.... ,맛집_리뷰,참치21 02-556-0067 서울 강남구 테헤란로4길 46 평일 16:00 ~ 24:00 일요일 휴무 강남역 4번출구로 나와 대륭빌딩 뒷편의 계단을 올라 쌍용플래티넘밸류 빌딩 편의점 바로 옆에 강남역맛집 참치 21에 도착합니다.... ,참치21 02 556 0067 서울 강남구 테헤란로4길 46 평일 16 00 ~ 24 00 일요일 휴무 강남역 4번출구로 나와 대륭빌딩 뒷편의 계단을 올라 쌍용플래티넘밸류 빌딩 편의점 바로 옆에 강남역맛집 참치 21에 도착합니다.,0,97,128,1,97.0,0.0,49,26,3,0,0,4,0.5306122448979592,0.061224489795918366,0.0,0.0,0.08163265306122448,0.26804123711340205,0.041237113402061855,0,0,1,0,0,1,0.020618556701030927
강남역 라멘 맛집 마루이치[강남역맛집/데이트코스/혼밥]... ,맛집_리뷰,겨울이 되어 어느덧 2018년 한해가 지나고 2019년 1월이 되었는데요! 추운 날씨에 모두 따끈따끈 음식을... 강남역 라멘 맛집 마루이치[강남역맛집/데이트코스/혼밥] 강남역 6번출구에 위치하고 있는데 위치자체가... ,겨울이 되어 어느덧 2018년 한해가 지나고 2019년 1월이 되었는데요! 추운 날씨에 모두 따끈따끈 음식을. 강남역 라멘 맛집 마루이치 강남역맛집 데이트코스 혼밥 강남역 6번출구에 위치하고 있는데 위치자체가.,0,92,117,3,30.666666666666668,11.953614051360738,43,22,4,2,0,7,0.5116279069767442,0.09302325581395349,0.046511627906976744,0.0,0.16279069767441862,0.2391304347826087,0.07608695652173914,0,0,2,1,0,0,0.03260869565217391
분위기 좋은 강남역 맛집 푸짐하고 맛있는 바비레드,맛집_리뷰,강남역 맛집/ BTS 팝업스토어 맛집 강남 데이트 코스로 좋은 바비레드 강남본점 안녕하세요. Emily에요~ 벌써 2019년의 마지막 날이네요.. 요즘 회사랑 집근처만 다니다보니 오랜만에 분위기 좋고 맛도 좋은 곳에서... ,강남역 맛집 BTS 팝업스토어 맛집 강남 데이트 코스로 좋은 바비레드 강남본점 안녕하세요. Emily에요~ 벌써 2019년의 마지막 날이네요. 요즘 회사랑 집근처만 다니다보니 오랜만에 분위기 좋고 맛도 좋은 곳에서.,0,94,120,3,31.333333333333332,6.128258770283411,45,22,3,4,0,7,0.4888888888888889,0.06666666666666667,0.08888888888888889,0.0,0.15555555555555556,0.23404255319148937,0.07446808510638298,1,0,3,0,0,1,0.0425531914893617
"강남역맛집, 베트남쌀국수 땀땀!",맛집_리뷰,3개월 전인 2019년 10월 달에 개봉한 영화죠. 82년생 김지영이라는 영화가 생각납니다. 여태까지 이... 이 친구와 강남역에서 만나 강남역맛집 베트남쌀국수 땀땀으로 향했답니다. 이 곳의 위치는 강남역 2호선 11번... ,3개월 전인 2019년 10월 달에 개봉한 영화죠. 82년생 김지영이라는 영화가 생각납니다. 여태까지 이. 이 친구와 강남역에서 만나 강남역맛집 베트남쌀국수 땀땀으로 향했답니다. 이 곳의 위치는 강남역 2호선 11번.,0,95,121,5,19.0,8.438009243891594,50,24,3,0,0,11,0.48,0.06,0.0,0.0,0.22,0.25263157894736843,0.11578947368421053,1,0,5,0,0,0,0.05263157894736842
강남역 맛집 가성비 실화?,맛집_리뷰,15:00~17:00 강남역 맛집 마초쉐프 ! 강남역 분위기 데이트 면에서 저렴하여 젊은 분들이 찾아가기 좋을 것 같아요. 안녕하세요 ~ 연블링이에요. !! 2019년 6월10일날 휴무 날이여서 친구들과 마초쉐프라는 곳을 찾아... ,15 00~17 00 강남역 맛집 마초쉐프 ! 강남역 분위기 데이트 면에서 저렴하여 젊은 분들이 찾아가기 좋을 것 같아요. 안녕하세요 ~ 연블링이에요. ! 2019년 6월10일날 휴무 날이여서 친구들과 마초쉐프라는 곳을 찾아.,0,97,126,4,24.25,8.276472678623424,45,16,3,5,0,6,0.35555555555555557,0.06666666666666667,0.1111111111111111,0.0,0.13333333333333333,0.16494845360824742,0.061855670103092786,2,0,3,2,0,2,0.07216494845360824
