feature,mean_abs_shap
friendly_ending_count,1.6089498
avg_sentence_len,1.5805011
punctuation_ratio,1.4499612
tfidf_생각보다,0.46025464
josa_density,0.3234331
tfidf_들렀지만,0.20154586
tfidf_않았다,0.19053078
tfidf_같아요,0.16666333
josa_ratio,0.15493958
tfidf_먹고,0.1320998
tfidf_기분,0.12862897
noun_density,0.10016379
tfidf_괜찮은,0.07523826
tfidf_처음엔,0.07324786
sentence_len_std,0.061744273
tfidf_크게,0.045490175
tfidf_들렀지만 생각보다,0.041296147
tfidf_보니,0.0404906
adverb_ratio,0.03484845
tfidf_기대보다,0.033169173
tfidf_은근,0.032222424
tfidf_짧게,0.029290589
tfidf_손이,0.025523016
tfidf_않은,0.02347961
tfidf_자극적이지,0.022145828
tfidf_가면,0.018678568
tfidf_그래도,0.014832014
verb_ratio,0.014812545
tfidf_며칠,0.012727933
tfidf_있을,0.011300087
tfidf_다시,0.0093617905
tfidf_조금,0.008209728
sentence_count,0.007839378
tfidf_그냥,0.006160408
tfidf_처음,0.0021553622
tfidf_과하지,0.0019751035
tfidf_근처에서,0.0012228704
tfidf_특별하진 않은데,0.0
tfidf_어렵지,0.0
tfidf_엄청난 아니고,0.0
tfidf_엄청난,0.0
tfidf_어렵지 않았어요,0.0
tfidf_해보니 생각보다,0.0
tfidf_양도,0.0
tfidf_없고,0.0
tfidf_알차게 시간을,0.0
tfidf_알차게,0.0
tfidf_않은데 기억은,0.0
tfidf_않은데,0.0
tfidf_않은 점이,0.0
tfidf_해보니,0.0
tfidf_없이,0.0
tfidf_없고 그냥,0.0
tfidf_없이 먹기,0.0
tfidf_없이 즐길,0.0
tfidf_여유,0.0
tfidf_여유 있게,0.0
tfidf_연말정산,0.0
tfidf_오래,0.0
tfidf_오래 남을,0.0
tfidf_오랜만에,0.0
tfidf_요즘,0.0
tfidf_웨이팅만,0.0
tfidf_위치는,0.0
tfidf_위치는 찾기,0.0
tfidf_하면서,0.0
tfidf_해야겠다,0.0
tfidf_않았어요 천천히,0.0
tfidf_않으면,0.0
tfidf_음식,0.0
tfidf_시간이,0.0
tfidf_시간이었답니다,0.0
tfidf_시끄럽지,0.0
tfidf_시끄럽지 않아,0.0
llm_style_count,0.0
tfidf_식사했는데,0.0
tfidf_식사했는데 분위기가,0.0
tfidf_싶더라고요,0.0
tfidf_싶어요,0.0
tfidf_싶었다,0.0
adjective_ratio,0.0
tfidf_싸진,0.0
tfidf_싸진 않았고,0.0
tfidf_써봤는데,0.0
tfidf_쓰다,0.0
tfidf_쓰다 보니,0.0
tfidf_아니고,0.0
tfidf_아니고 그냥,0.0
tfidf_아니었음,0.0
tfidf_아님,0.0
tfidf_않고,0.0
tfidf_않아,0.0
tfidf_않아 편했어요,0.0
tfidf_않아서,0.0
tfidf_않아서 번쯤,0.0
tfidf_않았고,0.0
tfidf_않았고 위치는,0.0
noun_ratio,0.0
tfidf_않았어요,0.0
tfidf_은근 기억에,0.0
tfidf_편했어요,0.0
