feature,exp1_importance,exp3_importance,delta,interpretation
tfidf_개인적으로는,0.8758436,0.20029634,-0.6755472600000001,일반적 변동
sentence_len_std,0.42893583,0.9371252,0.50818937,구조적 문체 다양성 중요도 증가
tfidf_개인적으로는 너무,0.5391879,0.04681629,-0.49237161000000007,일반적 변동
tfidf_조금,0.0,0.44461203,0.44461203,일반적 변동
tfidf_2019년,0.0,0.41806594,0.41806594,일반적 변동
friendly_ending_count,0.6832709,0.3300494,-0.3532215,GPT형 종결어미 특징 약화
tfidf_너무,0.44700053,0.10859401,-0.33840652,일반적 변동
tfidf_전체적으로,0.39346394,0.06010286,-0.33336108000000003,일반적 변동
sentence_count,0.9443177,1.258066,0.31374829999999987,일반적 변동
tfidf_같아요,0.35427243,0.06473021,-0.28954222,일반적 변동
tfidf_기분,0.28418106,0.0,-0.28418106,일반적 변동
verb_ratio,0.4722816,0.74290824,0.27062664,일반적 변동
tfidf_분위기가,0.065397054,0.29128247,0.225885416,일반적 변동
adjective_ratio,1.3285176,1.5511186,0.22260099999999983,일반적 변동
josa_density,0.017653842,0.21343994,0.195786098,일반적 변동
adverb_ratio,0.1891254,0.034655627,-0.154469773,일반적 변동
tfidf_맛집,0.15971993,0.012883667,-0.14683626300000002,일반적 변동
josa_ratio,0.010099461,0.1033618,0.093262339,일반적 변동
punctuation_ratio,0.19731791,0.107828684,-0.08948922600000002,일반적 변동
tfidf_과하지,0.083190046,0.0,-0.083190046,일반적 변동
tfidf_마음에,0.078259476,0.009429342,-0.06883013399999999,일반적 변동
tfidf_점이,0.06466416,0.0,-0.06466416,일반적 변동
tfidf_있을,0.0,0.064261116,0.064261116,일반적 변동
tfidf_과하지 않은,0.055168267,0.0,-0.055168267,일반적 변동
tfidf_기분 좋게,0.04406327,0.0,-0.04406327,일반적 변동
tfidf_다녀왔는데,0.0,0.042501807,0.042501807,일반적 변동
tfidf_있었어요,0.037368283,0.0,-0.037368283,일반적 변동
avg_sentence_len,0.047082573,0.084295005,0.037212432000000004,일반적 변동
tfidf_편해서,0.031967554,0.0,-0.031967554,일반적 변동
tfidf_가면,0.0,0.030389894,0.030389894,일반적 변동
noun_density,0.0048639756,0.033782534,0.028918558400000002,일반적 변동
tfidf_않은,0.025824536,0.0,-0.025824536,일반적 변동
tfidf_강남역,0.06811506,0.09147184,0.023356779999999994,일반적 변동
tfidf_들렀지만,0.022690084,0.0,-0.022690084,일반적 변동
tfidf_알차게,0.022113398,0.0,-0.022113398,일반적 변동
noun_ratio,0.027001947,0.046558697,0.019556750000000005,일반적 변동
tfidf_만족도가,0.019394867,0.0,-0.019394867,일반적 변동
tfidf_괜찮아서,0.018623887,0.0,-0.018623887,일반적 변동
tfidf_맛도,0.015043792,0.0,-0.015043792,일반적 변동
tfidf_처음,0.0,0.013671863,0.013671863,일반적 변동
tfidf_연말정산,0.0,0.009825474,0.009825474,일반적 변동
tfidf_내돈내산,0.008313993,0.0,-0.008313993,일반적 변동
tfidf_마무리할,0.007997193,0.0,-0.007997193,일반적 변동
tfidf_생각보다,0.38433555,0.3905896,0.0062540499999999555,일반적 변동
tfidf_기억에,0.015422642,0.012645467,-0.0027771749999999998,일반적 변동
tfidf_가보고 싶어요,0.0,0.0,0.0,일반적 변동
tfidf_기억에 오래,0.0,0.0,0.0,일반적 변동
tfidf_기대보다,0.0,0.0,0.0,일반적 변동
tfidf_같아요 개인적으로는,0.0,0.0,0.0,일반적 변동
tfidf_가보는 분들도,0.0,0.0,0.0,일반적 변동
tfidf_가보는,0.0,0.0,0.0,일반적 변동
tfidf_괜찮았고,0.0,0.0,0.0,일반적 변동
tfidf_계속,0.0,0.0,0.0,일반적 변동
tfidf_시간이었답니다,0.0,0.0,0.0,일반적 변동
tfidf_괜찮아서 기억에,0.0,0.0,0.0,일반적 변동
tfidf_다시,0.0,0.0,0.0,일반적 변동
tfidf_나름,0.0,0.0,0.0,일반적 변동
tfidf_나오는,0.0,0.0,0.0,일반적 변동
tfidf_다음에는,0.0,0.0,0.0,일반적 변동
tfidf_다음에는 조금,0.0,0.0,0.0,일반적 변동
tfidf_단점은,0.0,0.0,0.0,일반적 변동
tfidf_다음에,0.0,0.0,0.0,일반적 변동
tfidf_대해,0.0,0.0,0.0,일반적 변동
tfidf_다시 가보고,0.0,0.0,0.0,일반적 변동
tfidf_남겨두기에도,0.0,0.0,0.0,일반적 변동
tfidf_남겨두기에도 괜찮아서,0.0,0.0,0.0,일반적 변동
tfidf_괜찮았어요,0.0,0.0,0.0,일반적 변동
tfidf_남을,0.0,0.0,0.0,일반적 변동
tfidf_남을 같아요,0.0,0.0,0.0,일반적 변동
tfidf_가보고,0.0,0.0,0.0,일반적 변동
tfidf_너무 과하지,0.0,0.0,0.0,일반적 변동
tfidf_기대보다 편하게,0.0,0.0,0.0,일반적 변동
tfidf_보냈어요,0.0,0.0,0.0,일반적 변동
tfidf_기대,0.0,0.0,0.0,일반적 변동
tfidf_사진으로 남겨두기에도,0.0,0.0,0.0,일반적 변동
tfidf_무난하면서도,0.0,0.0,0.0,일반적 변동
tfidf_메뉴가,0.0,0.0,0.0,일반적 변동
tfidf_먹기,0.0,0.0,0.0,일반적 변동
tfidf_먹고,0.0,0.0,0.0,일반적 변동
tfidf_만족스러운 시간이었답니다,0.0,0.0,0.0,일반적 변동
tfidf_만족스러운,0.0,0.0,0.0,일반적 변동
tfidf_들렀지만 생각보다,0.0,0.0,0.0,일반적 변동
tfidf_들었어요,0.0,0.0,0.0,일반적 변동
tfidf_때문에,0.0,0.0,0.0,일반적 변동
tfidf_무난하면서도 기분,0.0,0.0,0.0,일반적 변동
tfidf_마무리할 있었어요,0.0,0.0,0.0,일반적 변동
tfidf_마음에 들었어요,0.0,0.0,0.0,일반적 변동
tfidf_막상,0.0,0.0,0.0,일반적 변동
tfidf_사진으로,0.0,0.0,0.0,일반적 변동
tfidf_짧게,0.0,0.0,0.0,일반적 변동
tfidf_근처에서,0.0,0.0,0.0,일반적 변동
tfidf_생각보다 알차게,0.0,0.0,0.0,일반적 변동
tfidf_강남역 맛집,0.0,0.0,0.0,일반적 변동
tfidf_소득공제,0.0,0.0,0.0,일반적 변동
tfidf_시간을,0.0,0.0,0.0,일반적 변동
tfidf_시간을 보냈어요,0.0,0.0,0.0,일반적 변동
tfidf_시간이,0.0,0.0,0.0,일반적 변동
tfidf_부담,0.0,0.0,0.0,일반적 변동
tfidf_부담 없이,0.0,0.0,0.0,일반적 변동
tfidf_분들도,0.0,0.0,0.0,일반적 변동
tfidf_분들도 크게,0.0,0.0,0.0,일반적 변동
tfidf_됩니다,0.0,0.0,0.0,일반적 변동
tfidf_동안,0.0,0.0,0.0,일반적 변동
tfidf_그래도,0.0,0.0,0.0,일반적 변동
tfidf_근처,0.0,0.0,0.0,일반적 변동
tfidf_싶더라고요,0.0,0.0,0.0,일반적 변동
tfidf_2020년 연말정산,0.0,0.0,0.0,일반적 변동
tfidf_직접,0.0,0.0,0.0,일반적 변동
tfidf_싶어요,0.0,0.0,0.0,일반적 변동
tfidf_없이,0.0,0.0,0.0,일반적 변동
tfidf_없었고,0.0,0.0,0.0,일반적 변동
tfidf_어렵지,0.0,0.0,0.0,일반적 변동
tfidf_양도,0.0,0.0,0.0,일반적 변동
tfidf_아닌,0.0,0.0,0.0,일반적 변동
tfidf_알차게 시간을,0.0,0.0,0.0,일반적 변동
tfidf_아쉬운,0.0,0.0,0.0,일반적 변동
tfidf_아이폰,0.0,0.0,0.0,일반적 변동
tfidf_않은 점이,0.0,0.0,0.0,일반적 변동
tfidf_아이폰 11,0.0,0.0,0.0,일반적 변동
tfidf_아이폰11,0.0,0.0,0.0,일반적 변동
tfidf_오래,0.0,0.0,0.0,일반적 변동
tfidf_오래 남을,0.0,0.0,0.0,일반적 변동
tfidf_있어요,0.0,0.0,0.0,일반적 변동
tfidf_여유,0.0,0.0,0.0,일반적 변동
