feature,exp2_shap_value,exp3_shap_value,exp1_shap_value
adjective_ratio,1.2457451,1.5511186,1.3285176
adverb_ratio,0.122290395,0.034655627,0.1891254
avg_sentence_len,0.12622799,0.084295005,0.047082573
friendly_ending_count,0.0,0.3300494,0.6832709
josa_density,0.25787628,0.21343994,0.0
josa_ratio,0.0017129233,0.1033618,0.0
noun_density,0.023662247,0.033782534,0.0
noun_ratio,0.055964287,0.046558697,0.027001947
punctuation_ratio,0.21771143,0.107828684,0.19731791
sentence_count,1.9256226,1.258066,0.9443177
sentence_len_std,0.85337186,0.9371252,0.42893583
tfidf_2019년,0.0,0.41806594,0.0
tfidf_가면,0.11722569,0.030389894,0.0
tfidf_강남역,0.0,0.09147184,0.06811506
tfidf_같아요,0.0,0.06473021,0.35427243
tfidf_개인적으로는,0.0,0.20029634,0.8758436
tfidf_개인적으로는 너무,0.0,0.04681629,0.5391879
tfidf_과하지,0.0,0.0,0.083190046
tfidf_과하지 않은,0.0,0.0,0.055168267
tfidf_그냥,0.082106404,0.32033375,0.0
tfidf_기분,0.0,0.0,0.28418106
tfidf_기분 좋게,0.0,0.0,0.04406327
tfidf_나중에,0.26039103,0.31056944,0.0
tfidf_나중에 해야겠다,0.12468811,0.064725615,0.0
tfidf_내돈내산,0.07652256,0.0,0.0
tfidf_너무,0.0,0.10859401,0.44700053
tfidf_느낌은,0.01870738,0.0,0.0
tfidf_다녀왔는데,0.0,0.042501807,0.0
tfidf_다른,0.0,0.04631882,0.0
tfidf_다음엔,0.0,0.19760402,0.0
tfidf_들렀지만,0.0,0.0,0.022690084
tfidf_마음에,0.0,0.0,0.078259476
tfidf_만족도가,0.0,0.0,0.019394867
tfidf_맛집,0.0,0.0,0.15971993
tfidf_분위기가,0.0,0.29128247,0.065397054
tfidf_빨리,0.04189275,0.0,0.0
tfidf_생각보다,0.0,0.3905896,0.38433555
tfidf_시간,0.020914037,0.0,0.0
tfidf_아주,0.12228464,0.0,0.0
tfidf_않았다,0.09484632,0.0,0.0
tfidf_않은,0.0,0.0,0.025824536
tfidf_알차게,0.0,0.0,0.022113398
tfidf_어떤,0.0,0.0,0.0
tfidf_연말에,0.0,0.0,0.0
tfidf_연말정산,0.014419108,0.0,0.0
tfidf_있어서,0.017348656,0.0,0.0
tfidf_있었어요,0.0,0.0,0.037368283
tfidf_있을,0.0,0.064261116,0.0
tfidf_전체적으로,0.0,0.06010286,0.39346394
tfidf_점이,0.0,0.0,0.06466416
tfidf_정도,0.06833471,0.0,0.0
tfidf_조금,1.7665519,0.44461203,0.0
tfidf_처음,0.04611274,0.0,0.0
tfidf_크게,0.12271777,0.0,0.0
tfidf_편해서,0.0,0.0,0.031967554
tfidf_해야겠다,0.035209484,0.0,0.0
verb_ratio,0.43301973,0.74290824,0.4722816
