title,category,content_raw,content_clean,is_ai,ai_type,char_count,raw_length,sentence_count,avg_sentence_len,sentence_len_std,total_tokens,noun_count,verb_count,adjective_count,adverb_count,josa_count,noun_ratio,verb_ratio,adjective_ratio,adverb_ratio,josa_ratio,noun_density,josa_density,friendly_ending_count,llm_style_count,period_count,exclamation_count,question_count,tilde_count,punctuation_ratio
[강남역 맛집] 한식 &quot;노랑저고리&quot;,맛집_리뷰,"한식 ""노랑저고리""는 가게 앞에서 잠깐 기다렸다. 메뉴는 금방 정했고 맛은 평범한데 묘하게 계속 먹게 됨. 다음에 지나가면 또 생각날 수도. 기대치를 낮추고 가면 무난한 정도. 사람이 좀 있어서 조용한 느낌은 아니었음.",한식 노랑저고리 는 가게 앞에서 잠깐 기다렸다. 메뉴는 금방 정했고 맛은 평범한데 묘하게 계속 먹게 됨. 다음에 지나가면 또 생각날 수도. 기대치를 낮추고 가면 무난한 정도. 사람이 좀 있어서 조용한 느낌은 아니었음.,1,AI_v2,90,121,5,18.0,3.286335345030997,49,22,9,4,0,8,0.4489795918367347,0.1836734693877551,0.08163265306122448,0.0,0.16326530612244897,0.24444444444444444,0.08888888888888889,0,0,5,0,0,0,0.05555555555555555
"2021 연말정산 기간과 소득 공제 항목 총정리! 월세, 카드... ",전문_정보,연말정산은 별일 아닌 듯해도 막상 겪어보니 나름 의미가 있었어요. 작은 변화였지만 하루 분위기가 달라져서 기분 좋게 마무리했답니다. 기대보다 편하게 즐길 수 있어서 만족스러운 시간이었답니다. 짧게 들렀지만 생각보다 알차게 시간을 보냈어요. 전체적으로 무난하면서도 기분 좋게 마무리할 수 있었어요.,연말정산은 별일 아닌 듯해도 막상 겪어보니 나름 의미가 있었어요. 작은 변화였지만 하루 분위기가 달라져서 기분 좋게 마무리했답니다. 기대보다 편하게 즐길 수 있어서 만족스러운 시간이었답니다. 짧게 들렀지만 생각보다 알차게 시간을 보냈어요. 전체적으로 무난하면서도 기분 좋게 마무리할 수 있었어요.,1,AI_v1,129,165,5,25.8,2.7856776554368237,57,21,12,11,0,7,0.3684210526315789,0.21052631578947367,0.19298245614035087,0.0,0.12280701754385964,0.16279069767441862,0.05426356589147287,2,0,5,0,0,0,0.03875968992248062
"강남역 맛집 바비레드 BOBIRED, 데이트코스로 강추!",맛집_리뷰,맛있게뜨아 츄르르르 #강남역맛집 #바비레드 #bobired #리코타치즈샐러드 #파스타 맛은 말모 #말해모해 #맛집 #강남역 강남역 맛집으로 바비레드 강력크 추천!! 여러분~~ 빅뉴스!!!!! 2019년 10월18일... ,맛있게뜨아 츄르르르 맛은 말모 강남역 맛집으로 바비레드 강력크 추천! 여러분~ 빅뉴스! 2019년 10월18일.,0,Human,50,62,3,16.666666666666668,9.568466729604882,23,11,2,1,0,2,0.4782608695652174,0.08695652173913043,0.043478260869565216,0.0,0.08695652173913043,0.22,0.04,0,0,1,2,0,1,0.08
"연말정산 소득공제, 2020년 변경된 내용 (신용카드,현금영수증)",전문_정보,연말정산 소득공제도 마찬가지로 직장인들에게는 13월의 월급이라는 말이 있습니다. 국세청에서 1년 동안 근로자의 급여에서 원천징수한 근로소득세를 연말이 되면 다시 계산해서 세액을 정산하는데 이때... ,연말정산 소득공제도 마찬가지로 직장인들에게는 13월의 월급이라는 말이 있습니다. 국세청에서 1년 동안 근로자의 급여에서 원천징수한 근로소득세를 연말이 되면 다시 계산해서 세액을 정산하는데 이때.,0,Human,87,108,2,43.5,6.5,44,19,3,1,0,12,0.4318181818181818,0.06818181818181818,0.022727272727272728,0.0,0.2727272727272727,0.21839080459770116,0.13793103448275862,0,0,2,0,0,0,0.022988505747126436
강남역맛집 / 낙원타코아니죠... 타코맛집 / 플래터 / 스텔라,맛집_리뷰,#강남역맛집 #낙원타코 #감성타코 #타코맛집 1월 생일자 친구들의 생일을 축하하고. 2019년을 보내고. 2020년을 반기는 자리. 강남역 만남 급성사 ㅋㅋ 추운데 정말 많은 사람들이 강남에 모여있었다. 우리는... ,1월 생일자 친구들의 생일을 축하하고. 2019년을 보내고. 2020년을 반기는 자리. 강남역 만남 급성사 추운데 정말 많은 사람들이 강남에 모여있었다. 우리는.,0,Human,71,90,5,14.2,8.059776671843954,37,13,4,1,0,6,0.35135135135135137,0.10810810810810811,0.02702702702702703,0.0,0.16216216216216217,0.18309859154929578,0.08450704225352113,0,0,5,0,0,0,0.07042253521126761
2019년 9월,맛집_리뷰,9월 먹어봄. 맛은 괜찮았고 특별히 불편한 건 없었다. 가게가 조금 북적여서 오래 앉아있긴 애매했고 그냥 식사하고 나오기 좋음. 딱히 특별하진 않은데 기억은 남는 편이다. 사람이 좀 있어서 조용한 느낌은 아니었음.,9월 먹어봄. 맛은 괜찮았고 특별히 불편한 건 없었다. 가게가 조금 북적여서 오래 앉아있긴 애매했고 그냥 식사하고 나오기 좋음. 딱히 특별하진 않은데 기억은 남는 편이다. 사람이 좀 있어서 조용한 느낌은 아니었음.,1,AI_v2,90,119,5,18.0,7.92464510246358,44,13,5,11,1,8,0.29545454545454547,0.11363636363636363,0.25,0.022727272727272728,0.18181818181818182,0.14444444444444443,0.08888888888888889,0,0,5,0,0,0,0.05555555555555555
"아이폰12pro max,11pro 케이스는 역시 슈피겐이지... ",상품_리뷰,"진짜, 이 시국에 아이폰12pro 케이스를 포스팅해야 하는데 11프로맥스 케이스를 포스팅하고 있다니... 칼러스와 함께하는 사진여행 Copyright ⓒ karl's photography. All rights reserved. 내돈내산 포스팅입니다.",진짜 이 시국에 아이폰12pro 케이스를 포스팅해야 하는데 11프로맥스 케이스를 포스팅하고 있다니. 칼러스와 함께하는 사진여행 Copyright karl s photography. All rights reserved. 내돈내산 포스팅입니다.,0,Human,112,134,4,28.0,13.946325680981353,43,16,3,2,1,5,0.37209302325581395,0.06976744186046512,0.046511627906976744,0.023255813953488372,0.11627906976744186,0.14285714285714285,0.044642857142857144,0,0,4,0,0,0,0.03571428571428571
"[비젠트로] 2020년 연말정산, ' 커진 혜택' 공제 항목 알아보기",전문_정보,연말정산 해봤다. 특별한 감상은 없고 그냥 해야 해서 한 느낌. 그래도 끝내고 나니 신경 쓰이던 게 하나 줄었다. 사람이 좀 있어서 조용한 느낌은 아니었음. 딱히 특별하진 않은데 기억은 남는 편이다. 사진은 몇 장 찍었는데 정리는 나중에 해야겠다.,연말정산 해봤다. 특별한 감상은 없고 그냥 해야 해서 한 느낌. 그래도 끝내고 나니 신경 쓰이던 게 하나 줄었다. 사람이 좀 있어서 조용한 느낌은 아니었음. 딱히 특별하진 않은데 기억은 남는 편이다. 사진은 몇 장 찍었는데 정리는 나중에 해야겠다.,1,AI_v2,102,138,6,17.0,4.123105625617661,51,18,11,7,1,8,0.35294117647058826,0.21568627450980393,0.13725490196078433,0.0196078431372549,0.1568627450980392,0.17647058823529413,0.0784313725490196,0,0,6,0,0,0,0.058823529411764705
신용카드 연말정산 소득공제 2020년 한시적 혜택? 눈 가리고... ,전문_정보,"이런 자영업자들의 생계를 지원하고자, 정부에서 한시적으로 2020년 3월 ~ 6월 기간 동안 신용카드 사용액에 대해 기존 신용카드 연말정산 소득공제 혜택을 두 배로 늘린다고 합니다. 저 역시 월급쟁이이고... ",이런 자영업자들의 생계를 지원하고자 정부에서 한시적으로 2020년 3월 ~ 6월 기간 동안 신용카드 사용액에 대해 기존 신용카드 연말정산 소득공제 혜택을 두 배로 늘린다고 합니다. 저 역시 월급쟁이이고.,0,Human,87,113,2,43.5,33.5,42,21,3,1,0,8,0.5,0.07142857142857142,0.023809523809523808,0.0,0.19047619047619047,0.2413793103448276,0.09195402298850575,0,0,2,0,0,1,0.034482758620689655
"강남역 맛집, 미소다이닝 세이로무시 추천.",맛집_리뷰,강남역은 가볍게 들른 곳인데 은근 기억에 남았어요. 메뉴가 깔끔하고 직원분들도 친절해서 편하게 먹고 왔습니다. 재방문 의사 있어요. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요. 기대보다 편하게 즐길 수 있어서 만족스러운 시간이었답니다.,강남역은 가볍게 들른 곳인데 은근 기억에 남았어요. 메뉴가 깔끔하고 직원분들도 친절해서 편하게 먹고 왔습니다. 재방문 의사 있어요. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요. 기대보다 편하게 즐길 수 있어서 만족스러운 시간이었답니다.,1,AI_v1,106,136,5,21.2,6.305553108173779,50,16,9,8,1,9,0.32,0.18,0.16,0.02,0.18,0.1509433962264151,0.08490566037735849,1,0,5,0,0,0,0.04716981132075472
2019년 9월,맛집_리뷰,9월은 가볍게 들른 곳인데 은근 기억에 남았어요. 메뉴가 깔끔하고 직원분들도 친절해서 편하게 먹고 왔습니다. 재방문 의사 있어요. 사진으로 남겨두기에도 괜찮아서 기억에 오래 남을 것 같아요. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요.,9월은 가볍게 들른 곳인데 은근 기억에 남았어요. 메뉴가 깔끔하고 직원분들도 친절해서 편하게 먹고 왔습니다. 재방문 의사 있어요. 사진으로 남겨두기에도 괜찮아서 기억에 오래 남을 것 같아요. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요.,1,AI_v1,105,136,5,21.0,6.29285308902091,54,17,8,7,2,11,0.3148148148148148,0.14814814814814814,0.12962962962962962,0.037037037037037035,0.2037037037037037,0.1619047619047619,0.10476190476190476,1,0,5,0,0,0,0.047619047619047616
&lt;강남역 맛집 두번 추천&gt;고에몬,맛집_리뷰,"같습니다 &lt;강남역 맛집 추천 고에몬&gt; 오예 미슐랭 2019년 맛집은 고에몬! 그래서 다시 가봤습니다 작년에 갔을 때는 웨이팅이 있었는데 이번에는 웨이팅 없이 바로 들어갔어요 캬베츠 멘치 5,900 레귤러세트... ",같습니다 강남역 맛집 추천 고에몬 오예 미슐랭 2019년 맛집은 고에몬! 그래서 다시 가봤습니다 작년에 갔을 때는 웨이팅이 있었는데 이번에는 웨이팅 없이 바로 들어갔어요 캬베츠 멘치 5 900 레귤러세트.,0,Human,87,114,2,43.5,12.5,37,20,3,2,2,5,0.5405405405405406,0.08108108108108109,0.05405405405405406,0.05405405405405406,0.13513513513513514,0.22988505747126436,0.05747126436781609,0,0,1,1,0,0,0.022988505747126436
20191110_강남_하루하루(#강남역맛집),맛집_리뷰,"건물 2층에 위치한 강남역맛집 '하루하루'. 매우 넓은 가게 내부. 보이는 것보다 더 많은 자리가 있음.... 건물내부 화장실 이용하고, 남녀분리에 깔끔함. 재방문의사: ●●●◐○ 갠춘한 강남맛집 발견!",건물 2층에 위치한 강남역맛집 하루하루 . 매우 넓은 가게 내부. 보이는 것보다 더 많은 자리가 있음. 건물내부 화장실 이용하고 남녀분리에 깔끔함. 재방문의사 갠춘한 강남맛집 발견!,0,Human,77,101,5,15.4,3.7202150475476548,43,25,2,4,0,6,0.5813953488372093,0.046511627906976744,0.09302325581395349,0.0,0.13953488372093023,0.3246753246753247,0.07792207792207792,0,0,4,1,0,0,0.06493506493506493
강남역 맛집- 쉑쉑버거 Shake Shack  아주 리얼후기,맛집_리뷰,근처에서 밥 먹을 곳 찾다가 강남역에 들렀어요. 맛이 자극적이지 않고 양도 적당해서 만족했답니다. 웨이팅만 조금 피하면 더 좋을 것 같아요. 기대보다 편하게 즐길 수 있어서 만족스러운 시간이었답니다. 사진으로 남겨두기에도 괜찮아서 기억에 오래 남을 것 같아요.,근처에서 밥 먹을 곳 찾다가 강남역에 들렀어요. 맛이 자극적이지 않고 양도 적당해서 만족했답니다. 웨이팅만 조금 피하면 더 좋을 것 같아요. 기대보다 편하게 즐길 수 있어서 만족스러운 시간이었답니다. 사진으로 남겨두기에도 괜찮아서 기억에 오래 남을 것 같아요.,1,AI_v1,111,145,5,22.2,3.4871191548325386,54,20,7,9,1,11,0.37037037037037035,0.12962962962962962,0.16666666666666666,0.018518518518518517,0.2037037037037037,0.18018018018018017,0.0990990990990991,4,0,5,0,0,0,0.04504504504504504
아이폰12 프로(iphone12 pro) 언박싱(내돈내산),상품_리뷰,혁신없는 아이폰은 더이상 구매를 안하고 오래 쓸려고 했는데...ㅠ.ㅠ... 중고폰으로 산 아이폰xs가 물이 들어가서 face id가 먹통이 되는 바람에 어쩔수 없이 '아이폰12 pro'를 구매할수밖에 없었습니다. 제가... ,혁신없는 아이폰은 더이상 구매를 안하고 오래 쓸려고 했는데. . . 중고폰으로 산 아이폰xs가 물이 들어가서 face id가 먹통이 되는 바람에 어쩔수 없이 아이폰12 pro 를 구매할수밖에 없었습니다. 제가.,0,Human,90,117,3,30.0,22.9830855679176,47,18,7,2,2,7,0.3829787234042553,0.14893617021276595,0.0425531914893617,0.0425531914893617,0.14893617021276595,0.2,0.07777777777777778,0,0,5,0,0,0,0.05555555555555555
[투뿔등심/강남역] #43 Ch. Pique-Segue Terre de Pique... ,맛집_리뷰,사실상 시작된 2019년 여름휴가 비행기편이 오전 일찍 출발이라 아무래도 전날은 다소 조신??하게... 공짜로 그닥 많지 않다는 거 자 다음에 또 #투뿔등심 #안심맛집 #강남역맛집 #콜키지프리 #코키지프리,사실상 시작된 2019년 여름휴가 비행기편이 오전 일찍 출발이라 아무래도 전날은 다소 조신?하게. 공짜로 그닥 많지 않다는 거 자 다음에 또,0,Human,59,78,3,19.666666666666668,15.253414918196734,31,18,3,1,1,4,0.5806451612903226,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.3050847457627119,0.06779661016949153,0,0,1,0,1,0,0.03389830508474576
2020년 연말정산용 의료비 세액공제 신청해 주세요,전문_정보,"2020년 바쁘고 조금 혼란스러운 한 해의 끝자락입니다. 보청기는 의료기기이고 의료비 세액 공제가 가능합니다. 판매자인 저는 다음 달 7일까지 연말정산간소화 자료를 제출하여야 하며, 의료비 세액 공제가... ",2020년 바쁘고 조금 혼란스러운 한 해의 끝자락입니다. 보청기는 의료기기이고 의료비 세액 공제가 가능합니다. 판매자인 저는 다음 달 7일까지 연말정산간소화 자료를 제출하여야 하며 의료비 세액 공제가.,0,Human,88,112,3,29.333333333333332,6.847546194724712,44,24,3,3,0,8,0.5454545454545454,0.06818181818181818,0.06818181818181818,0.0,0.18181818181818182,0.2727272727272727,0.09090909090909091,0,0,3,0,0,0,0.03409090909090909
강남 마녀의초대장  / 강남역 맛집/ 강남역 스테이크 / 강남... ,맛집_리뷰,강남에서 식사했는데 분위기가 너무 시끄럽지 않아 편했어요. 대표 메뉴가 깔끔했고 가격도 크게 부담스럽지 않아서 한 번쯤 가볼 만했답니다. 전체적으로 무난하면서도 기분 좋게 마무리할 수 있었어요. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요.,강남에서 식사했는데 분위기가 너무 시끄럽지 않아 편했어요. 대표 메뉴가 깔끔했고 가격도 크게 부담스럽지 않아서 한 번쯤 가볼 만했답니다. 전체적으로 무난하면서도 기분 좋게 마무리할 수 있었어요. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요.,1,AI_v1,107,138,4,26.75,3.766629793329841,53,19,11,5,2,9,0.3584905660377358,0.20754716981132076,0.09433962264150944,0.03773584905660377,0.16981132075471697,0.17757009345794392,0.08411214953271028,2,0,4,0,0,0,0.037383177570093455
[연말정산] 2020년 교육비 연말정산 세액공제 혜택... ,전문_정보,"오늘은 연말정산 교육비에 대해 짧게 남겨봅니다. 큰 기대 없이 시작했는데 생각보다 만족스러웠고, 다음에도 비슷하게 해보고 싶어요. 처음 가보는 분들도 크게 부담 없이 즐길 수 있을 것 같아요. 전체적으로 무난하면서도 기분 좋게 마무리할 수 있었어요.",오늘은 연말정산 교육비에 대해 짧게 남겨봅니다. 큰 기대 없이 시작했는데 생각보다 만족스러웠고 다음에도 비슷하게 해보고 싶어요. 처음 가보는 분들도 크게 부담 없이 즐길 수 있을 것 같아요. 전체적으로 무난하면서도 기분 좋게 마무리할 수 있었어요.,1,AI_v1,105,138,4,26.25,5.261891294962297,50,19,10,7,2,6,0.38,0.2,0.14,0.04,0.12,0.18095238095238095,0.05714285714285714,1,0,4,0,0,0,0.0380952380952381
2020년 연말정산 소득공제 개정세법 총정리,전문_정보,"2억원 초과 (1억원 초과) 300만원 (700만원) 마무리 ▶2020년부터 개정된 연말정산 공제사항 변경세법만 알려드렸습니다. 어떠신가요? 내가 지금 포함되고, 혜택 받을 수 있는 개정법안이 있으신가요? 올해... ",2억원 초과 1억원 초과 300만원 700만원 마무리 2020년부터 개정된 연말정산 공제사항 변경세법만 알려드렸습니다. 어떠신가요? 내가 지금 포함되고 혜택 받을 수 있는 개정법안이 있으신가요? 올해.,0,Human,89,112,4,22.25,20.351596988934308,40,19,5,3,0,3,0.475,0.125,0.075,0.0,0.075,0.21348314606741572,0.033707865168539325,0,0,2,0,2,0,0.0449438202247191
Casetify 케이스티파이 아이폰11pro 폰케이스 20% 할인코드... ,상품_리뷰,느낌있어요 ;) #한예슬아이폰케이스 PP-0008 로 담아볼게요. 팬그램 팬그램 PP-0008 이 디자인은 배경을... 0 케이스티파이 바로가기 #내돈내산 #케이스티파이 #팬그램후기 #팬그램서울 #casetify #BTS 콜라보... ,느낌있어요 PP 0008 로 담아볼게요. 팬그램 팬그램 PP 0008 이 디자인은 배경을. 0 케이스티파이 바로가기 콜라보.,0,Human,54,69,3,18.0,2.449489742783178,24,11,3,0,0,2,0.4583333333333333,0.125,0.0,0.0,0.08333333333333333,0.2037037037037037,0.037037037037037035,0,0,3,0,0,0,0.05555555555555555
"아이폰 11 Pro 케이스, 이 세상 예쁨이 아니잖아? 내돈내산... ",상품_리뷰,"아이폰은 가볍게 써보기 좋은 제품이었어요. 기대를 너무 크게 하지 않으면 만족도가 높고, 실사용 기준으로는 꽤 괜찮게 느껴졌답니다. 기대보다 편하게 즐길 수 있어서 만족스러운 시간이었답니다. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요.",아이폰은 가볍게 써보기 좋은 제품이었어요. 기대를 너무 크게 하지 않으면 만족도가 높고 실사용 기준으로는 꽤 괜찮게 느껴졌답니다. 기대보다 편하게 즐길 수 있어서 만족스러운 시간이었답니다. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요.,1,AI_v1,105,135,4,26.25,6.684870978560469,49,17,10,7,2,8,0.3469387755102041,0.20408163265306123,0.14285714285714285,0.04081632653061224,0.16326530612244897,0.1619047619047619,0.0761904761904762,2,0,4,0,0,0,0.0380952380952381
