category,title,content,date,is_ai,ai_type
맛집_리뷰,[강남역 맛집] 한식 &quot;노랑저고리&quot;,"한식 ""노랑저고리""는 가게 앞에서 잠깐 기다렸다. 메뉴는 금방 정했고 맛은 평범한데 묘하게 계속 먹게 됨. 다음에 지나가면 또 생각날 수도. 기대치를 낮추고 가면 무난한 정도. 사람이 좀 있어서 조용한 느낌은 아니었음.",20190717,1,AI_v2
전문_정보,"2021 연말정산 기간과 소득 공제 항목 총정리! 월세, 카드... ",연말정산은 별일 아닌 듯해도 막상 겪어보니 나름 의미가 있었어요. 작은 변화였지만 하루 분위기가 달라져서 기분 좋게 마무리했답니다. 기대보다 편하게 즐길 수 있어서 만족스러운 시간이었답니다. 짧게 들렀지만 생각보다 알차게 시간을 보냈어요. 전체적으로 무난하면서도 기분 좋게 마무리할 수 있었어요.,20201231,1,AI_v1
맛집_리뷰,"강남역 맛집 바비레드 BOBIRED, 데이트코스로 강추!",맛있게뜨아 츄르르르 #강남역맛집 #바비레드 #bobired #리코타치즈샐러드 #파스타 맛은 말모 #말해모해 #맛집 #강남역 강남역 맛집으로 바비레드 강력크 추천!! 여러분~~ 빅뉴스!!!!! 2019년 10월18일... ,20191113,0,Human
전문_정보,"연말정산 소득공제, 2020년 변경된 내용 (신용카드,현금영수증)",연말정산 소득공제도 마찬가지로 직장인들에게는 13월의 월급이라는 말이 있습니다. 국세청에서 1년 동안 근로자의 급여에서 원천징수한 근로소득세를 연말이 되면 다시 계산해서 세액을 정산하는데 이때... ,20201030,0,Human
맛집_리뷰,강남역맛집 / 낙원타코아니죠... 타코맛집 / 플래터 / 스텔라,#강남역맛집 #낙원타코 #감성타코 #타코맛집 1월 생일자 친구들의 생일을 축하하고. 2019년을 보내고. 2020년을 반기는 자리. 강남역 만남 급성사 ㅋㅋ 추운데 정말 많은 사람들이 강남에 모여있었다. 우리는... ,20200113,0,Human
맛집_리뷰,2019년 9월,9월 먹어봄. 맛은 괜찮았고 특별히 불편한 건 없었다. 가게가 조금 북적여서 오래 앉아있긴 애매했고 그냥 식사하고 나오기 좋음. 딱히 특별하진 않은데 기억은 남는 편이다. 사람이 좀 있어서 조용한 느낌은 아니었음.,20191019,1,AI_v2
상품_리뷰,"아이폰12pro max,11pro 케이스는 역시 슈피겐이지... ","진짜, 이 시국에 아이폰12pro 케이스를 포스팅해야 하는데 11프로맥스 케이스를 포스팅하고 있다니... 칼러스와 함께하는 사진여행 Copyright ⓒ karl's photography. All rights reserved. 내돈내산 포스팅입니다.",20201117,0,Human
전문_정보,"[비젠트로] 2020년 연말정산, ' 커진 혜택' 공제 항목 알아보기",연말정산 해봤다. 특별한 감상은 없고 그냥 해야 해서 한 느낌. 그래도 끝내고 나니 신경 쓰이던 게 하나 줄었다. 사람이 좀 있어서 조용한 느낌은 아니었음. 딱히 특별하진 않은데 기억은 남는 편이다. 사진은 몇 장 찍었는데 정리는 나중에 해야겠다.,20191230,1,AI_v2
전문_정보,신용카드 연말정산 소득공제 2020년 한시적 혜택? 눈 가리고... ,"이런 자영업자들의 생계를 지원하고자, 정부에서 한시적으로 2020년 3월 ~ 6월 기간 동안 신용카드 사용액에 대해 기존 신용카드 연말정산 소득공제 혜택을 두 배로 늘린다고 합니다. 저 역시 월급쟁이이고... ",20200306,0,Human
맛집_리뷰,"강남역 맛집, 미소다이닝 세이로무시 추천.",강남역은 가볍게 들른 곳인데 은근 기억에 남았어요. 메뉴가 깔끔하고 직원분들도 친절해서 편하게 먹고 왔습니다. 재방문 의사 있어요. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요. 기대보다 편하게 즐길 수 있어서 만족스러운 시간이었답니다.,20190116,1,AI_v1
맛집_리뷰,2019년 9월,9월은 가볍게 들른 곳인데 은근 기억에 남았어요. 메뉴가 깔끔하고 직원분들도 친절해서 편하게 먹고 왔습니다. 재방문 의사 있어요. 사진으로 남겨두기에도 괜찮아서 기억에 오래 남을 것 같아요. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요.,20191019,1,AI_v1
맛집_리뷰,&lt;강남역 맛집 두번 추천&gt;고에몬,"같습니다 &lt;강남역 맛집 추천 고에몬&gt; 오예 미슐랭 2019년 맛집은 고에몬! 그래서 다시 가봤습니다 작년에 갔을 때는 웨이팅이 있었는데 이번에는 웨이팅 없이 바로 들어갔어요 캬베츠 멘치 5,900 레귤러세트... ",20200605,0,Human
맛집_리뷰,20191110_강남_하루하루(#강남역맛집),"건물 2층에 위치한 강남역맛집 '하루하루'. 매우 넓은 가게 내부. 보이는 것보다 더 많은 자리가 있음.... 건물내부 화장실 이용하고, 남녀분리에 깔끔함. 재방문의사: ●●●◐○ 갠춘한 강남맛집 발견!",20191123,0,Human
맛집_리뷰,강남역 맛집- 쉑쉑버거 Shake Shack  아주 리얼후기,근처에서 밥 먹을 곳 찾다가 강남역에 들렀어요. 맛이 자극적이지 않고 양도 적당해서 만족했답니다. 웨이팅만 조금 피하면 더 좋을 것 같아요. 기대보다 편하게 즐길 수 있어서 만족스러운 시간이었답니다. 사진으로 남겨두기에도 괜찮아서 기억에 오래 남을 것 같아요.,20190725,1,AI_v1
상품_리뷰,아이폰12 프로(iphone12 pro) 언박싱(내돈내산),혁신없는 아이폰은 더이상 구매를 안하고 오래 쓸려고 했는데...ㅠ.ㅠ... 중고폰으로 산 아이폰xs가 물이 들어가서 face id가 먹통이 되는 바람에 어쩔수 없이 '아이폰12 pro'를 구매할수밖에 없었습니다. 제가... ,20201108,0,Human
맛집_리뷰,[투뿔등심/강남역] #43 Ch. Pique-Segue Terre de Pique... ,사실상 시작된 2019년 여름휴가 비행기편이 오전 일찍 출발이라 아무래도 전날은 다소 조신??하게... 공짜로 그닥 많지 않다는 거 자 다음에 또 #투뿔등심 #안심맛집 #강남역맛집 #콜키지프리 #코키지프리,20190916,0,Human
전문_정보,2020년 연말정산용 의료비 세액공제 신청해 주세요,"2020년 바쁘고 조금 혼란스러운 한 해의 끝자락입니다. 보청기는 의료기기이고 의료비 세액 공제가 가능합니다. 판매자인 저는 다음 달 7일까지 연말정산간소화 자료를 제출하여야 하며, 의료비 세액 공제가... ",20201224,0,Human
맛집_리뷰,강남 마녀의초대장  / 강남역 맛집/ 강남역 스테이크 / 강남... ,강남에서 식사했는데 분위기가 너무 시끄럽지 않아 편했어요. 대표 메뉴가 깔끔했고 가격도 크게 부담스럽지 않아서 한 번쯤 가볼 만했답니다. 전체적으로 무난하면서도 기분 좋게 마무리할 수 있었어요. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요.,20190202,1,AI_v1
전문_정보,[연말정산] 2020년 교육비 연말정산 세액공제 혜택... ,"오늘은 연말정산 교육비에 대해 짧게 남겨봅니다. 큰 기대 없이 시작했는데 생각보다 만족스러웠고, 다음에도 비슷하게 해보고 싶어요. 처음 가보는 분들도 크게 부담 없이 즐길 수 있을 것 같아요. 전체적으로 무난하면서도 기분 좋게 마무리할 수 있었어요.",20201211,1,AI_v1
전문_정보,2020년 연말정산 소득공제 개정세법 총정리,"2억원 초과 (1억원 초과) 300만원 (700만원) 마무리 ▶2020년부터 개정된 연말정산 공제사항 변경세법만 알려드렸습니다. 어떠신가요? 내가 지금 포함되고, 혜택 받을 수 있는 개정법안이 있으신가요? 올해... ",20201119,0,Human
상품_리뷰,Casetify 케이스티파이 아이폰11pro 폰케이스 20% 할인코드... ,느낌있어요 ;) #한예슬아이폰케이스 PP-0008 로 담아볼게요. 팬그램 팬그램 PP-0008 이 디자인은 배경을... 0 케이스티파이 바로가기 #내돈내산 #케이스티파이 #팬그램후기 #팬그램서울 #casetify #BTS 콜라보... ,20191117,0,Human
상품_리뷰,"아이폰 11 Pro 케이스, 이 세상 예쁨이 아니잖아? 내돈내산... ","아이폰은 가볍게 써보기 좋은 제품이었어요. 기대를 너무 크게 하지 않으면 만족도가 높고, 실사용 기준으로는 꽤 괜찮게 느껴졌답니다. 기대보다 편하게 즐길 수 있어서 만족스러운 시간이었답니다. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요.",20200530,1,AI_v1
상품_리뷰,[내돈내산][쿠팡 애플 브랜드 위크] 아이폰11 공기계 퍼플... ,며칠 동안 내돈내산을 써봤는데 생각보다 손이 자주 가더라고요. 사용법도 어렵지 않고 마감도 괜찮아서 전체적으로 만족했어요. 사진으로 남겨두기에도 괜찮아서 기억에 오래 남을 것 같아요. 다음에는 조금 더 여유 있게 다시 가보고 싶어요.,20200417,1,AI_v1
상품_리뷰,북포유 아이폰11 유화케이스 내돈내산리뷰,들판 아이폰11 케이스 유화케이스라고 해서 바로 보고 너무 이쁘다는 생각에 장바구니에 꼭꼭 담아주고... 아이폰을 얼마나 비싸게 주고 삿는데 이번에 아직 할부도 안끝낫어요 끝나지 않는 티엠아이... ,20200518,0,Human
